weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,weekday_7,temp,cost,price,sales
0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.3,1.5,5.6,173.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,25.4,0.3,4.9,196.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.3,1.5,7.6,207.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,0.3,5.3,241.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2,1.0,7.2,227.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,26.1,0.5,6.6,193.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,0.3,4.9,191.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.5,0.5,3.9,189.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,30.1,1.0,6.5,208.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.8,0.3,5.4,167.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.3,0.5,6.0,188.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.7,0.5,3.2,193.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,23.3,0.5,6.3,184.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,25.7,1.0,4.4,194.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.6,1.5,6.5,219.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,22.2,1.0,6.1,191.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.7,0.5,5.8,182.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,23.5,1.0,6.4,197.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,27.8,0.5,4.1,202.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,35.2,0.3,4.4,218.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.3,1.5,6.0,195.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,1.5,7.4,197.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,0.5,5.6,189.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.1,0.3,4.5,183.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.8,0.5,4.9,182.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,1.5,9.3,203.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,25.7,1.5,5.5,195.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.1,0.5,5.6,183.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.7,1.0,6.2,166.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,25.1,0.5,5.3,192.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.1,0.3,6.1,181.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.1,1.0,7.3,181.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.2,1.5,5.6,236.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,29.5,1.0,4.9,202.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.3,1.0,7.1,216.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.9,1.5,7.4,198.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.3,5.0,242.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.3,0.5,5.5,239.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.4,1.5,6.0,181.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.4,0.3,5.8,233.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.1,0.3,5.4,180.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,1.5,6.4,211.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,0.3,4.4,194.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.9,1.0,6.8,190.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,27.4,1.0,5.1,205.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,28.5,0.3,5.7,194.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,27.1,0.3,4.6,206.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.6,0.5,6.7,227.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,30.3,1.5,6.3,217.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.8,1.5,5.9,193.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.9,1.0,7.3,225.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.8,1.5,6.4,177.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5,1.5,7.7,201.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,25.1,0.5,4.3,197.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,1.0,7.0,213.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,27.3,1.5,5.1,200.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,27.7,1.0,5.8,202.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,29.2,0.3,4.4,201.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.5,0.3,5.0,185.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.8,1.5,6.5,186.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.7,0.3,5.5,191.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.4,1.5,7.2,215.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.2,0.5,7.6,176.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,26.2,0.5,5.9,196.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,28.9,1.0,7.0,207.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,24.1,1.0,6.0,186.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,25.1,1.0,5.7,193.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,1.0,7.3,218.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.3,0.5,6.2,188.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,31.4,0.5,5.9,203.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,0.5,6.6,227.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.7,1.0,6.5,231.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.8,1.5,8.0,204.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,5.8,237.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.8,1.5,7.5,196.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.6,0.5,5.6,241.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,27.8,0.3,5.9,203.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.3,1.0,6.3,200.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,27.6,0.5,5.0,200.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.9,1.5,8.1,193.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.2,0.3,6.7,227.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.1,1.5,5.3,177.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,24.3,1.0,8.4,197.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.1,1.0,6.1,181.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.9,1.0,6.1,169.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.8,0.3,6.7,155.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.2,0.3,5.7,240.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,0.3,6.2,182.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,1.0,5.9,198.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.4,0.5,3.7,197.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,25.1,1.5,5.1,199.0
